,listing_url,photo_url,price,title,location,origin_city_list
0,https://www.facebook.com/marketplace/item/1824410178312175/,Abilene_tx_500mi_files/476820468_122094652016772014_125354288471431082_n.jpg,$1,Huge Cordless and Corded Ryobi tool collection with batteries,"Georgetown, TX",Abilene_tx_500mi
1,https://www.facebook.com/marketplace/item/640161745142625/,Abilene_tx_500mi_files/479969151_519445790720352_3810374512616732579_n.jpg,$340,Ryobi Power Tools $340obo,"Joshua, TX",Abilene_tx_500mi
2,https://www.facebook.com/marketplace/item/527256159803719/,Abilene_tx_500mi_files/476920706_611212298495636_8343093441310750795_n.jpg,$300,Ryobi Tools,"Lubbock, TX",Abilene_tx_500mi
3,https://www.facebook.com/marketplace/item/609909608334504/,Abilene_tx_500mi_files/480528487_1010622834250876_5554854709662565320_n.jpg,$125,"Ryobi ONE+ 18V C 6-Tool Combo Kit with 1.5 Ah Battery, 4.0 Ah Battery, and Charger (No Multi-Tool)","Bedford, TX",Abilene_tx_500mi
4,https://www.facebook.com/marketplace/item/1342273590124626/,Abilene_tx_500mi_files/476562573_1615273772691010_4773566497304355080_n.jpg,$125,Ryobi power tools,"Mayflower, AR",Abilene_tx_500mi
5,https://www.facebook.com/marketplace/item/606039912320677/,Abilene_tx_500mi_files/474661973_551776574577243_4306063317769696774_n.jpg,$200,"RYOBI
ONE+ 18V Cordless 6-Tool Combo
Kit with 1.5 Ah Battery, 4.0 Ah Battery, and Charger NEW $220","Carrollton, TX",Abilene_tx_500mi
6,https://www.facebook.com/marketplace/item/1125006195843788/,Abilene_tx_500mi_files/480629449_636829395705193_7426966954152705806_n.jpg,$75,Ryobi,"Dallas, TX",Abilene_tx_500mi
7,https://www.facebook.com/marketplace/item/675064601856522/,Abilene_tx_500mi_files/480771166_1114428170431732_4369811575992721840_n.jpg,$100,Ryobi power  saw,"Idalou, TX",Abilene_tx_500mi
8,https://www.facebook.com/marketplace/item/1454751495774969/,Abilene_tx_500mi_files/479789070_1134358387968063_1630013556818865886_n.jpg,$200,RYOBI generator,"San Antonio, TX",Abilene_tx_500mi
9,https://www.facebook.com/marketplace/item/611220291798897/,Abilene_tx_500mi_files/473217808_2164505067317773_3467187321363460763_n.jpg,$50,Ryobi Power Tools,"Waxahachie, TX",Abilene_tx_500mi
10,https://www.facebook.com/marketplace/item/1070570508171352/,Abilene_tx_500mi_files/477299243_1848498175893651_4593236621049657367_n.jpg,$25,RYOBI ONE+ 18V CORDLESS 5-1/2 IN. CIRCULAR SAW (TOOL ONLY),"Robinson, TX",Abilene_tx_500mi
11,https://www.facebook.com/marketplace/item/1126237118805222/,Abilene_tx_500mi_files/477014356_643977664832169_7362998729363792616_n.jpg,$150,Ryobi set,"Springfield, MO",Abilene_tx_500mi
12,https://www.facebook.com/marketplace/item/1282834802980002/,Abilene_tx_500mi_files/478274906_525668583334127_5410816005599183372_n.jpg,$100,RYOBI Tools,"Arlington, TX",Abilene_tx_500mi
13,https://www.facebook.com/marketplace/item/2408763256137356/,Abilene_tx_500mi_files/471746620_504098018752655_7777630777807486226_n.jpg,$65,Ryobi circular saw kit,"Humble, TX",Abilene_tx_500mi
14,https://www.facebook.com/marketplace/item/1773397226772397/,Abilene_tx_500mi_files/474612674_1299258364606048_6219414353612970824_n.jpg,$160,RYOBI 18v 7 Tool Combo Kit,"Houston, TX",Abilene_tx_500mi
15,https://www.facebook.com/marketplace/item/894882349525912/,Abilene_tx_500mi_files/472396091_627922599924180_2915655534776972309_n.jpg,$1,Ryobi,"Pflugerville, TX",Abilene_tx_500mi
16,https://www.facebook.com/marketplace/item/545286465339981/,Abilene_tx_500mi_files/480768725_1922094921649884_4772501691081254766_n.jpg,$150,Ryobi 3 tool combo kit,"Wylie, TX",Abilene_tx_500mi
17,https://www.facebook.com/marketplace/item/1027512792551085/,Abilene_tx_500mi_files/479945398_610125605095605_3623597858731789738_n.jpg,$170,Ryobi tool set,"Fort Worth, TX",Abilene_tx_500mi
18,https://www.facebook.com/marketplace/item/3982178655398962/,Abilene_tx_500mi_files/478255836_1808951553199334_4661192385014412865_n.jpg,$200,Ryobi 18v Tools,"Harrah, OK",Abilene_tx_500mi
